name,price,locality,region,postal_code,address,latitude,longitude,description,bedrooms,bathrooms,floor_size_sq_ft,uniq_id,scraped_at
"10125 Baffin Dr, San Diego, CA 92126",816480.0,San Diego,CA,92126,10125 Baffin Dr,32.900981,-117.153876,"This Single Family Residence is located at 10125 Baffin Dr, San Diego, Ca. The estimated value of this home is currently priced at 816,480, approximately $720.00 per square foot. 10125 Baffin Dr is within the school district San Diego Unified School District with nearby schools including Jonas Salk Elementary School, Challenger Middle School, and Mira Mesa High School.",3,2,1134.0,8b174963-ff1e-5783-bd6a-fdfa28999104,01/07/2022 18:13:41
"78345 Terra Cotta Ct, La Quinta, CA 92253",416694.0,La Quinta,CA,92253,78345 Terra Cotta Ct,33.727888,-116.297511,"This Condominium is located at 78345 Terra Cotta Ct, La Quinta, Ca. The estimated value of this home is currently priced at 416,694, approximately $456.90 per square foot. This property was originally built in 1989. 78345 Terra Cotta Ct is within the school district Desert Sands Unified School District with nearby schools including Gerald R Ford Elementary School, John Glenn Middle School Of International Studies, and La Quinta High School.",2,2,912.0,9add4ef2-73df-5085-972a-70c81dd5b0ac,01/07/2022 18:13:41
"469 Sandpiper St, Banning, CA 92220",365040.0,Banning,CA,92220,469 Sandpiper St,33.923569,-116.935236,"This Single Family Residence is located at 469 Sandpiper St, Banning, Ca. The estimated value of this home is currently priced at 365,040, approximately $248.16 per square foot. This property was originally built in 2003. 469 Sandpiper St is within the school district Banning Unified School District with nearby schools including Sundance Elementary School, Glen View High School, and Banning High School.",2,2,1471.0,aaab3409-c6c3-5bc3-897c-5b4425492532,01/07/2022 18:13:41
"18620 Hatteras St 257, Tarzana, CA 91356",366444.0,Tarzana,CA,91356,18620 Hatteras St 257,34.176364,-118.539319,"This Condominium is located at 18620 Hatteras St 257, Tarzana, Ca. The estimated value of this home is currently priced at 366,444, approximately $402.69 per square foot. This property was originally built in 1970. 18620 Hatteras St 257 is within the school district Los Angeles Unified School District with nearby schools including Tarzana Elementary School, Gaspar De Portola Middle School, and Reseda Senior High School.",2,2,910.0,3f17b279-2a0f-5c56-9bb7-7c998f535953,01/07/2022 18:13:41
"2075 Mendocino St, Seaside, CA 93955",896416.0,Seaside,CA,93955,2075 Mendocino St,36.620651,-121.829274,"This Single Family Residence is located at 2075 Mendocino St, Seaside, Ca. The estimated value of this home is currently priced at 896,416, approximately $672.48 per square foot. This property was originally built in 1953. 2075 Mendocino St is within the school district Monterey Peninsula Unified School District with nearby schools including Ord Terrace Elementary School, Seaside Middle School, and Seaside High School.",3,2,1333.0,01a2f60e-496f-5886-a59d-103097ebb544,01/07/2022 18:13:42
"6212 Gretchen Ct, Fontana, CA 92336",863704.0,Fontana,CA,92336,6212 Gretchen Ct,34.141112,-117.468321,"This Single Family Residence is located at 6212 Gretchen Ct, Fontana, Ca. The estimated value of this home is currently priced at 863,704, approximately $295.69 per square foot. This property was originally built in 2002. 6212 Gretchen Ct is within the school district Chaffey Joint Union High School District with nearby schools including Etiwanda Colony Elementary School, Summit Intermediate School, and Etiwanda High School.",4,2,2921.0,6ee153d9-6438-5d62-ae58-b655eb873646,01/07/2022 18:13:42
"5879 Sailing Hawk Ave, Santa Rosa, CA 95409",1439471.0,Santa Rosa,CA,95409,5879 Sailing Hawk Ave,38.466291,-122.634455,"This Single Family Residence is located at 5879 Sailing Hawk Ave, Santa Rosa, Ca. The estimated value of this home is currently priced at 1,439,471, approximately $388.63 per square foot. This property was originally built in 2001. 5879 Sailing Hawk Ave is within the school district Santa Rosa High School District with nearby schools including Austin Creek Elementary School, Rincon Valley Charter School, and Maria Carrillo High School.",4,5,3704.0,daa159dd-27da-5301-a0ce-81a49b34c8c6,01/07/2022 18:13:42
"2563 Gayle Ln, Auburn, CA 95602",408100.0,Auburn,CA,95602,2563 Gayle Ln,38.973151,-121.068109,"This Single Family Residence is located at 2563 Gayle Ln, Auburn, Ca. The estimated value of this home is currently priced at 408,100, approximately $180.34 per square foot. This property was originally built in 1980. 2563 Gayle Ln is within the school district Placer Hills Union Elementary School District with nearby schools including Sierra Hills Elementary School, Ilearn Academy, and Ilearn Academy.",3,3,2263.0,54b766c5-c640-5491-8562-1033738c5b90,01/07/2022 18:13:42
"5451 N State St, Fresno, CA 93722",354240.0,Fresno,CA,93722,5451 N State St,36.816648,-119.887379,"This Single Family Residence is located at 5451 N State St, Fresno, Ca. The estimated value of this home is currently priced at 354,240, approximately $279.15 per square foot. 5451 N State St is within the school district Central Unified School District with nearby schools including William Saroyan Elementary School, Rio Vista Middle School, and Central High East Campus.",3,1,1269.0,e54e4bdb-3323-5524-85ec-fb6588406a4b,01/07/2022 18:13:42
"8801 Haveteur Way, San Diego, CA 92123",835596.0,San Diego,CA,92123,8801 Haveteur Way,32.807714,-117.139024,"This Single Family Residence is located at 8801 Haveteur Way, San Diego, Ca. The estimated value of this home is currently priced at 835,596, approximately $621.72 per square foot. 8801 Haveteur Way is within the school district San Diego Unified School District with nearby schools including Wegeforth Elementary School, Taft Middle School, and Kearney High School.",4,2,1344.0,acbc1177-ae8b-5b7f-8fce-0020daddef0b,01/07/2022 18:13:43
